tags,labels,area
0,0,2914592
1,1,6559
2,2,6643
3,4,6934
4,3,6161
5,6,6046
6,9,5269
7,7,5227
8,8,4792
9,5,5549
10,10,4084
11,16,4440
12,17,5240
13,18,4362
14,21,4140
15,20,3972
16,25,4224
17,27,3839
18,22,3280
9999,44,2155
9999,51,2021
9999,49,1891
9999,73,1844
9999,46,1679
9999,71,1568
9999,70,1606
9999,68,1531
9999,72,1442
9999,67,1399
9999,50,2184
9999,66,1665
9999,48,2190
9999,23,3429
9999,47,2408
9999,42,2599
9999,41,2842
9999,29,3133
9999,43,3266
9999,40,3284
9999,65,1373
9999,26,3464
9999,28,3481
9999,19,3589
9999,24,3650
9999,64,3812
9999,45,2222
9999,69,1052
